City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,medina,24.4686,39.6142,59.43,55,0,2.3,SA,1706320567
254,ocean shores,46.9737,-124.1563,51.03,97,100,12.66,US,1706320567
255,kasane,-17.8167,25.15,61.74,67,90,4.05,BW,1706320567
256,banda aceh,5.5577,95.3222,81.77,78,87,8.57,ID,1706320568
257,guerrero negro,27.9769,-114.0611,67.1,54,100,2.42,MX,1706320568
258,paphos,34.7667,32.4167,46.18,76,29,8.05,CY,1706320568
259,bubaque,11.2833,-15.8333,78.51,72,4,5.68,GW,1706320568
260,paradip garh,20.3167,86.6167,64.99,65,5,7.25,IN,1706320568
261,presidencia de la plaza,-27.0015,-59.8424,70.66,55,0,5.64,AR,1706320568
262,ambodifotatra,-16.9833,49.85,77.81,79,59,9.75,MG,1706320568
263,sipocot,13.768,122.9762,78.35,65,79,14.41,PH,1706320569
264,mata-utu,-13.2816,-176.1745,82.06,80,100,13.04,WF,1706320569
265,nagothana,18.5333,73.1333,71.35,41,100,3.38,IN,1706320569
266,el charco,2.4769,-78.1105,77.07,92,100,2.04,CO,1706320569
267,igrim,63.1906,64.4162,11.35,96,100,5.1,RU,1706320569
268,birendranagar,28.6019,81.6339,45.99,42,0,4.27,NP,1706320569
269,hartford city,40.4511,-85.37,39.87,93,100,6.24,US,1706320570
270,fortuna,40.5982,-124.1573,61.14,75,100,20.71,US,1706320570
271,chegdomyn,51.1167,133.0167,-2.51,91,78,1.32,RU,1706320570
272,gulma,12.6423,4.3555,66.42,22,47,12.77,NG,1706320570
273,oume,35.7839,139.2431,49.01,24,0,16.11,JP,1706320570
274,novo aripuana,-5.1206,-60.3797,73.53,99,100,2.48,BR,1706320570
275,corner brook,48.9667,-57.9484,23.16,98,99,3.74,CA,1706320570
276,hasaki,35.7333,140.8333,45.0,44,3,2.51,JP,1706320571
277,novopskov,49.5464,39.0899,32.99,99,100,3.78,UA,1706320571
278,general roca,-39.0333,-67.5833,91.98,17,69,6.24,AR,1706320571
279,akjoujt,19.6969,-14.4164,66.52,13,16,11.74,MR,1706320571
280,ifanadiana,-21.3,47.6333,65.73,98,100,1.01,MG,1706320571
281,suwalki,54.1118,22.9309,30.15,97,100,8.37,PL,1706320571
282,arkhangel'sk,64.5401,40.5433,26.71,100,100,2.24,RU,1706320572
283,umm kaddadah,13.6017,26.6876,55.44,35,31,15.41,SD,1706320572
284,peace river,56.2501,-117.286,26.91,100,75,9.22,CA,1706320491
285,semenyih,2.9516,101.843,87.48,72,38,7.4,MY,1706320572
286,aykhal,66.0,111.5,-26.63,100,15,4.81,RU,1706320572
287,puerto maldonado,-12.6,-69.1833,73.69,97,85,2.26,PE,1706320573
288,broome,42.2506,-75.833,41.7,92,100,10.36,US,1706320573
289,la libertad,-2.2333,-80.9,77.29,82,86,8.12,EC,1706320573
290,stornoway,58.2093,-6.3865,48.16,79,100,31.07,GB,1706320573
291,warrnambool,-38.3833,142.4833,65.21,65,99,20.67,AU,1706320573
292,envira,-7.3,-70.2167,73.94,93,100,2.75,BR,1706320573
293,ruteng,-8.6136,120.4721,72.9,71,81,4.27,ID,1706320573
294,jinghong,21.991,100.7341,61.92,97,98,1.79,CN,1706320574
295,tulun,54.5611,100.5792,-10.8,99,28,0.6,RU,1706320574
296,changzhou,31.7833,119.9667,40.84,40,3,3.58,CN,1706320574
297,tolanaro,-25.0319,46.9987,73.47,78,40,6.91,MG,1706320574
298,midvagur,62.0511,-7.1939,43.63,87,100,25.32,FO,1706320574
299,constantia,44.1833,28.65,30.88,73,30,8.57,RO,1706320574
300,christchurch,-43.5333,172.6333,84.4,18,0,18.41,NZ,1706320574
301,road town,18.4167,-64.6167,78.84,69,40,12.66,VG,1706320521
302,bamboo flat,11.7,92.7167,78.89,89,75,6.91,IN,1706320575
303,strezhevoy,60.7333,77.5889,10.96,96,99,5.01,RU,1706320575
304,vorkuta,67.5,64.0,9.52,96,97,6.26,RU,1706320575
305,tomatlan,19.9333,-105.25,69.08,88,0,0.81,MX,1706320329
306,sao vicente,-23.9631,-46.3919,73.58,26,69,4.07,BR,1706320575
307,staraya vichuga,57.2683,41.8787,5.74,99,93,3.67,RU,1706320576
308,kabalo,-6.05,26.9167,68.83,97,100,1.66,CD,1706320576
309,kuta,-8.7233,115.1723,82.35,83,20,5.01,ID,1706320576
310,baikonur,45.6167,63.3167,13.6,74,96,10.74,KZ,1706320576
311,houghton,47.1219,-88.569,36.88,95,100,0.0,US,1706320576
312,tazacorte,28.629,-17.9293,68.14,39,0,3.44,ES,1706320576
313,colonia menno,-22.3667,-59.8167,77.02,38,0,8.21,PY,1706320576
314,san pedro,14.35,121.0167,81.32,63,20,8.01,PH,1706320576
315,dausa,26.8833,76.3333,49.17,65,61,1.57,IN,1706320577
316,soio,-6.1349,12.3689,80.13,86,100,6.08,AO,1706320577
317,cacapava do sul,-30.5122,-53.4914,61.21,81,99,7.65,BR,1706320577
318,chapaev,50.2,51.1667,15.4,94,98,7.83,KZ,1706320577
319,kovel,51.2153,24.7087,29.84,96,100,7.11,UA,1706320577
320,la porte,29.6658,-95.0194,63.18,97,100,0.89,US,1706320577
321,stepnoye,51.4,46.8667,20.84,96,99,9.64,RU,1706320577
322,kununurra,-15.7667,128.7333,85.98,74,100,5.75,AU,1706320578
323,zhaqsy,51.9083,67.3133,4.26,97,95,12.53,KZ,1706320578
